,GeneID,UniProtID,Protein Description,Protein Length (#AA),Protein Mass (Da),Subcellular Location ,Abundance Level,Average Protein Copy Number
8459,STOX2,Q9P2F5,Storkhead-box protein 2,926,102671,,Medium,
8460,STRA6,Q9BX79,Receptor for retinol uptake STRA6,667,73503,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:18316031, ECO:0000269|PubMed:21901792, ECO:0000269|PubMed:9452451}; Multi-pass membrane protein {ECO:0000305}. Note=In the retinal pigment epithelium localizes to the basolateral membrane. {ECO:0000250|UniProtKB:Q0V8E7}.",Medium,
8461,STRADA,Q7RTN6,STE20-related kise adapter protein alpha,431,48369,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:12805220, ECO:0000269|PubMed:14517248}. Cytoplasm {ECO:0000269|PubMed:12805220, ECO:0000269|PubMed:14517248}.",Medium,
8462,STRADB,Q9C0K7,STE20-related kise adapter protein beta,418,47026,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:14517248}. Cytoplasm {ECO:0000269|PubMed:14517248}.,High,
8463,STRAP,Q9Y3F4,Serine-threonine kise receptor-associated protein,350,38438,SUBCELLULAR LOCATION: Cytoplasm. Nucleus. Note=Localized predominantly in the cytoplasm but also found in the nucleus.,High,342000.614565506
8464,STRBP,Q96SI9,Spermatid perinuclear R-binding protein,672,73653,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Note=Microtubule-associated that localizes to the manchette in developing spermatids. {ECO:0000250}.,Medium,22602.768009005194
8465,STRIP1,Q5VSL9,Striatin-interacting protein 1,837,95576,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:21834987}. Note=Enriched on the plasma membrane.,Low,6606.484597864207
8466,STRIP2,Q9ULQ0,Striatin-interacting protein 2,834,95360,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:21834987}. Note=Enriched in lamellipodia.,Low  ,
8467,STRN,O43815,Striatin,780,86132,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}. Cell projection, dendritic spine {ECO:0000250}. Note=CTTNBP2-binding may regulate dendritic spine distribution. {ECO:0000250}.",Medium,12288.292655987423
8468,STRN3,Q13033,Striatin-3,797,87209,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}.,Medium,14974.205335947432
8469,STRN4,Q9NRL3,Striatin-4,753,80596,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}. Cell projection, dendritic spine {ECO:0000250}. Note=CTTNBP2-binding may regulate dendritic spine distribution. {ECO:0000250}.",Medium,27788.363220700398
8470,STS,P08842,Steryl-sulfatase,583,65492,"SUBCELLULAR LOCATION: Cytoplasmic vesicle, secretory vesicle, microneme membrane {ECO:0000269|PubMed:2668275}; Multi-pass membrane protein. Endoplasmic reticulum membrane {ECO:0000269|PubMed:2668275}; Multi-pass membrane protein.",Low  ,1068.8719802944331
8471,STT3A,P46977,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A,705,80530,SUBCELLULAR LOCATION: Endoplasmic reticulum {ECO:0000269|PubMed:12887896}. Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:P46978}; Multi-pass membrane protein {ECO:0000250|UniProtKB:P46978}.,High,37319.997068010634
8472,STT3B,Q8TCJ2,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B,826,93674,SUBCELLULAR LOCATION: Endoplasmic reticulum {ECO:0000269|PubMed:12887896}. Endoplasmic reticulum membrane; Multi-pass membrane protein {ECO:0000250|UniProtKB:P39007}.,High,47314.25385463303
8473,STUB1,Q9UNE7,E3 ubiquitin-protein ligase CHIP,303,34856,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:10330192, ECO:0000269|PubMed:17369820, ECO:0000269|PubMed:23973223}. Nucleus {ECO:0000269|PubMed:23973223}. Note=Translocates to the nucleus in response to inflammatory signals in regulatory T-cells (Treg). {ECO:0000269|PubMed:23973223}.",High,41552.56138083697
8474,STX10,O60499,Syntaxin-10,249,28114,SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000305}; Single-pass type IV membrane protein {ECO:0000305}.,Very low,
8475,STX12,Q86Y82,Syntaxin-12,276,31642,SUBCELLULAR LOCATION: Endosome membrane {ECO:0000250|UniProtKB:G3V7P1}; Single-pass type IV membrane protein {ECO:0000250|UniProtKB:G3V7P1}. Golgi apparatus membrane {ECO:0000250|UniProtKB:G3V7P1}; Single-pass type IV membrane protein {ECO:0000250|UniProtKB:G3V7P1}. Endomembrane system {ECO:0000250|UniProtKB:G3V7P1}; Single-pass type IV membrane protein {ECO:0000250|UniProtKB:G3V7P1}; Cytoplasmic side {ECO:0000250|UniProtKB:G3V7P1}. Early endosome membrane {ECO:0000250|UniProtKB:G3V7P1}; Single-pass type IV membrane protein {ECO:0000250|UniProtKB:G3V7P1}. Recycling endosome membrane {ECO:0000250|UniProtKB:G3V7P1}; Single-pass type IV membrane protein {ECO:0000250|UniProtKB:G3V7P1}.,High,218295.47598823017
8476,STX16,O14662,Syntaxin-16,325,37031,SUBCELLULAR LOCATION: Golgi apparatus membrane; Single-pass type IV membrane protein.; SUBCELLULAR LOCATION: [Isoform C]: Cytoplasm.,Low,7032.182344557258
8477,STX17,P56962,Syntaxin-17,302,33403,"SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:23006999}; Multi-pass membrane protein {ECO:0000255}. Smooth endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q9Z158}; Multi-pass membrane protein {ECO:0000255}. Endoplasmic reticulum-Golgi intermediate compartment membrane {ECO:0000269|PubMed:23006999}; Multi-pass membrane protein {ECO:0000255}. Cytoplasmic vesicle, autophagosome membrane {ECO:0000269|PubMed:23217709, ECO:0000269|PubMed:25686604, ECO:0000269|PubMed:26416964, ECO:0000269|PubMed:28306502, ECO:0000269|PubMed:29420192}; Multi-pass membrane protein {ECO:0000255}. Cytoplasmic vesicle, COPII-coated vesicle membrane {ECO:0000250|UniProtKB:Q9Z158}; Multi-pass membrane protein {ECO:0000255}. Cytoplasm, cytosol {ECO:0000250|UniProtKB:Q9Z158}. Mitochondrion membrane {ECO:0000269|PubMed:23217709, ECO:0000269|PubMed:28504273}; Multi-pass membrane protein {ECO:0000255}. Note=Has a hairpin-like insertion into membranes. Localizes to the completed autophagosome membrane upon cell starvation (PubMed:23217709). {ECO:0000269|PubMed:23217709}.",Medium,
8478,STX18,Q9P2W9,Syntaxin-18,335,38674,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000305|PubMed:15029241}; Single-pass type IV membrane protein {ECO:0000305|PubMed:15029241}. Golgi apparatus membrane {ECO:0000305}; Single-pass type IV membrane protein {ECO:0000305}.,Low,2593.501017690003
8479,STX1A,Q16623,Syntaxin-1A,288,33023,"SUBCELLULAR LOCATION: Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane {ECO:0000250|UniProtKB:O35526}; Single-pass type IV membrane protein {ECO:0000250|UniProtKB:O35526}. Synapse, synaptosome {ECO:0000250|UniProtKB:O35526}. Cell membrane {ECO:0000250|UniProtKB:P32851}. Note=Colocalizes with KCNB1 at the cell membrane. {ECO:0000250|UniProtKB:P32851}.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted {ECO:0000305}.",High,41445.99780324285
8480,STX1B,P61266,Syntaxin-1B,288,33245,"SUBCELLULAR LOCATION: [Isoform 1]: Membrane {ECO:0000305}; Single-pass type IV membrane protein {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform 2]: Nucleus {ECO:0000269|PubMed:18691641}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:18691641}. Cytoplasm, cytoskeleton, spindle {ECO:0000269|PubMed:18691641}. Note=Colocalizes with Lamin A/C and NuMA in interphasic nuclei, and with NuMA and gamma-tubulin in the pericentrosomal region of the mitotic spindle in dividing cells.",High,135977.99722808757
8481,STX2,P32856,Syntaxin-2,288,33341,SUBCELLULAR LOCATION: Membrane; Single-pass type IV membrane protein.,High,48869.603504427556
8482,STX4,Q12846,Syntaxin-4,297,34180,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q08850}; Single-pass type IV membrane protein {ECO:0000305}. Cell projection, neuron projection {ECO:0000250|UniProtKB:Q08850}. Note=Localizes to neurite tips in neuronal cells. {ECO:0000250|UniProtKB:Q08850}.",Low,6373.966581706743
8483,STX5,Q13190,Syntaxin-5,355,39673,"SUBCELLULAR LOCATION: Endoplasmic reticulum-Golgi intermediate compartment membrane {ECO:0000250|UniProtKB:Q08851}; Single-pass type IV membrane protein {ECO:0000255}. Golgi apparatus membrane {ECO:0000269|PubMed:27795424}. Note=Localizes throughout the Golgi apparatus, but most abundant in the cis-most cisternae. {ECO:0000269|PubMed:27795424}.",Low,6054.002832993877
8484,STX6,O43752,Syntaxin-6,255,29176,"SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000269|PubMed:23818989}; Single-pass type IV membrane protein {ECO:0000305}. Golgi apparatus, trans-Golgi network membrane {ECO:0000250|UniProtKB:Q63635}; Single-pass type IV membrane protein {ECO:0000255}. Recycling endosome membrane {ECO:0000250|UniProtKB:Q63635}; Single-pass type IV membrane protein {ECO:0000255}.",Medium,12053.605927177088
8485,STX7,O15400,Syntaxin-7,261,29816,SUBCELLULAR LOCATION: Early endosome membrane {ECO:0000250}; Single-pass type IV membrane protein {ECO:0000250}.,High,603560.0241984325
8486,STX8,Q9UNK0,Syntaxin-8,236,26907,"SUBCELLULAR LOCATION: Membrane {ECO:0000250}; Single-pass type IV membrane protein {ECO:0000250}. Note=Preferentially associated with the early endosome. To a lesser extent, also present in late endosome, the plasma membrane and coated pits (By similarity). {ECO:0000250}.",Medium,16047.631473402753
8487,STXBP1,P61764,Syntaxin-binding protein 1,594,67569,"SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:20887364}. Membrane; Peripheral membrane protein.",High,321454.920443792
8488,STXBP2,Q15833,Syntaxin-binding protein 2,593,66453,,Very low,436.63912921115264
8489,STXBP3,O00186,Syntaxin-binding protein 3,592,67764,"SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:10194441}. Cell membrane {ECO:0000269|PubMed:10194441}. Note=In platelets, predominantly cytosolic. Low amounts membrane-associated.",Low,1723.8857596677249
8490,STXBP4,Q6ZWJ1,Syntaxin-binding protein 4,553,61662,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.,Low  ,
8491,STXBP5,Q5T5C0,Syntaxin-binding protein 5,1151,127573,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Cell membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}. Cytoplasmic vesicle membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}. Cytoplasmic vesicle, secretory vesicle, synaptic vesicle {ECO:0000250}. Synapse {ECO:0000250}. Note=Cytoplasmic, and associated with vesicular membranes and the plasma membrane. Detected at synapses and on synaptic vesicles (By similarity). {ECO:0000250}.",Very Low,335.9504439540097
8492,STXBP5L,Q9Y2K9,Syntaxin-binding protein 5-like,1186,131887,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}. Cell membrane {ECO:0000305}; Peripheral membrane protein {ECO:0000305}. Membrane {ECO:0000305}; Peripheral membrane protein {ECO:0000305}. Note=Cytoplasmic, and associated with vesicular membranes and the plasma membrane. {ECO:0000305}.",Very Low,113.18679753622396
8493,STXBP6,Q8NFX7,Syntaxin-binding protein 6,210,23554,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:12145319}. Membrane {ECO:0000269|PubMed:12145319}; Peripheral membrane protein {ECO:0000269|PubMed:12145319}.,Low,4790.5956479534025
8494,STYX,Q8WUJ0,Serine/threonine/tyrosine-interacting protein,223,25492,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:23847209, ECO:0000269|PubMed:28007894}. Cytoplasm, cytosol {ECO:0000269|PubMed:23847209}. Note=Predominantly localizes to the nucleus. {ECO:0000269|PubMed:23847209, ECO:0000269|PubMed:28007894}.",Very low,
8495,SUB1,P53999,Activated R polymerase II transcriptiol coactivator p15,127,14395,SUBCELLULAR LOCATION: Nucleus.,High,854924.8773764273
8496,SUCLA2,Q9P2R7,"Succite--CoA ligase [ADP-forming] subunit beta, mitochondrial",463,50317,"SUBCELLULAR LOCATION: Mitochondrion {ECO:0000255|HAMAP-Rule:MF_03220, ECO:0000269|PubMed:15877282, ECO:0000269|PubMed:17287286, ECO:0000269|PubMed:25944712}.",High,155199.33762516716
8497,SUCLG1,P53597,"Succite--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial",346,36250,SUBCELLULAR LOCATION: Mitochondrion {ECO:0000255|HAMAP-Rule:MF_03222}.,High,110356.16633398231
8498,SUCLG2,Q96I99,"Succite--CoA ligase [GDP-forming] subunit beta, mitochondrial",432,46511,SUBCELLULAR LOCATION: Mitochondrion {ECO:0000255|HAMAP-Rule:MF_03221}.,Medium,13898.88806609047
8499,SUCO,Q9UBS9,SUN domain-containing ossification factor,1254,139430,SUBCELLULAR LOCATION: Rough endoplasmic reticulum membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}.,Low  ,
8500,SUDS3,Q9H7L9,Sin3 histone deacetylase corepressor complex component SDS3,328,38136,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:21239494}.,Low,2909.5639807307152
8501,SUFU,Q9UMX1,Suppressor of fused homolog,484,53947,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:10559945, ECO:0000269|PubMed:28965847}. Nucleus {ECO:0000269|PubMed:10559945, ECO:0000269|PubMed:28965847}.",Low  ,733.4009457601703
8502,SUGCT,Q9HAC7,Succite--hydroxymethylglutarate CoA-transferase,445,48462,SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:23893049}.,Medium,
8503,SUGP1,Q8IWZ8,SURP and G-patch domain-containing protein 1,645,72471,SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.,Low,3888.264348873283
8504,SUGP2,Q8IX01,SURP and G-patch domain-containing protein 2,1082,120207,SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.,High,54026.79139366314
8505,SUGT1,Q9Y2Z0,Protein SGT1 homolog,365,41024,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:21864708}. Nucleus {ECO:0000269|PubMed:21864708}. Note=Translocates to the nucleus upon heat shock, requiring S100A6.",High,360097.7702430705
8506,SULF1,Q8IWU6,Extracellular sulfatase Sulf-1,871,101027,"SUBCELLULAR LOCATION: Endoplasmic reticulum {ECO:0000250|UniProtKB:Q8VI60}. Golgi apparatus, Golgi stack {ECO:0000250|UniProtKB:Q8VI60}. Cell surface {ECO:0000269|PubMed:12368295, ECO:0000269|PubMed:12686563}.; SUBCELLULAR LOCATION: [Extracellular sulfatase Sulf-2 secreted form]: Secreted {ECO:0000269|PubMed:12368295}.",Medium,
8507,SULF2,Q8IWU5,Extracellular sulfatase Sulf-2,870,100455,"SUBCELLULAR LOCATION: Endoplasmic reticulum {ECO:0000250|UniProtKB:Q8VI60}. Golgi apparatus, Golgi stack {ECO:0000250|UniProtKB:Q8VI60}. Cell surface {ECO:0000269|PubMed:12368295, ECO:0000269|PubMed:35294879}.; SUBCELLULAR LOCATION: [Extracellular sulfatase Sulf-2 secreted form]: Secreted {ECO:0000269|PubMed:12368295, ECO:0000269|PubMed:30788513, ECO:0000269|PubMed:35294879}.",Low  ,1373.9366644706727
8508,SULT1A1,P50225,Sulfotransferase 1A1,295,34165,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:P17988}.,Very low,
8509,SULT4A1,Q9BR01,Sulfotransferase 4A1,284,33085,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.,Medium,16129.884200717135
8510,SUMF2,Q8NBJ7,Ictive C-alpha-formylglycine-generating enzyme 2,301,33843,"SUBCELLULAR LOCATION: Endoplasmic reticulum lumen {ECO:0000269|PubMed:15708861, ECO:0000269|PubMed:15962010, ECO:0000269|PubMed:18266766}.",High,42303.42900413001
8511,SUMO1,P63165,Small ubiquitin-related modifier 1,101,11557,"SUBCELLULAR LOCATION: Nucleus membrane {ECO:0000269|PubMed:10574707, ECO:0000269|PubMed:12383504}. Nucleus speckle {ECO:0000250|UniProtKB:P63166}. Cytoplasm {ECO:0000269|PubMed:12383504, ECO:0000269|PubMed:9162015}. Nucleus, PML body {ECO:0000269|PubMed:10574707, ECO:0000269|PubMed:12383504, ECO:0000269|PubMed:22406621}. Cell membrane {ECO:0000269|PubMed:19223394}. Nucleus {ECO:0000269|PubMed:24651376, ECO:0000269|PubMed:9162015}. Note=Recruited by BCL11A into the nuclear body (By similarity). In the presence of ZFHX3, sequesterd to nuclear body (NB)-like dots in the nucleus some of which overlap or closely associate with PML body (PubMed:24651376). {ECO:0000250|UniProtKB:P63166, ECO:0000269|PubMed:24651376}.",High,225477.16082592687
8512,SUMO2,P61956,Small ubiquitin-related modifier 2,95,10871,"SUBCELLULAR LOCATION: Nucleus. Nucleus, PML body.",High,105869.37768916575
8513,SUMO3,P55854,Small ubiquitin-related modifier 3,103,11637,"SUBCELLULAR LOCATION: Cytoplasm. Nucleus. Nucleus, PML body {ECO:0000250}.",High,1576422.9140233332
8514,SUMO4,Q6EEV6,Small ubiquitin-related modifier 4 (SUMO-4) (Small ubiquitin-like protein 4),95,10653,,Low  ,
8515,SUN1,O94901,SUN domain-containing protein 1,785,87110,"SUBCELLULAR LOCATION: Nucleus inner membrane {ECO:0000269|PubMed:12958361, ECO:0000269|PubMed:16445915, ECO:0000269|PubMed:17132086, ECO:0000269|PubMed:18845190, ECO:0000269|PubMed:19933576}; Single-pass type II membrane protein {ECO:0000269|PubMed:12958361, ECO:0000269|PubMed:16445915, ECO:0000269|PubMed:17132086, ECO:0000269|PubMed:18845190, ECO:0000269|PubMed:19933576}. Note=At oocyte MI stage localized around the spindle, at MII stage localized to the spindle poles. {ECO:0000250|UniProtKB:Q9D666}.",Medium,7587.359361187628
8516,SUN2,Q9UH99,SUN domain-containing protein 2,717,80311,"SUBCELLULAR LOCATION: Nucleus inner membrane {ECO:0000269|PubMed:15082709}; Single-pass type II membrane protein {ECO:0000269|PubMed:15082709}. Nucleus envelope {ECO:0000269|PubMed:15082709, ECO:0000269|PubMed:17132086, ECO:0000269|PubMed:17724119}. Endosome membrane {ECO:0000269|PubMed:10818110}; Single-pass type II membrane protein {ECO:0000305}.",Medium,8755.268070148559
8517,SUOX,P51687,"Sulfite oxidase, mitochondrial",545,60283,SUBCELLULAR LOCATION: Mitochondrion intermembrane space {ECO:0000250|UniProtKB:Q07116}.,Low,4520.636769838282
8518,SUPT16H,Q9Y5B9,FACT complex subunit SPT16,1047,119914,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:10421373}. Chromosome {ECO:0000269|PubMed:10421373}. Note=Colocalizes with RNA polymerase II on chromatin. Recruited to actively transcribed loci.,High,100720.84730975555
8519,SUPT20H,Q8NEM7,Transcription factor SPT20 homolog,779,85789,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:19893488}.,Very low,192.25272850718164
8520,SUPT3H,O75486,Transcription initiation protein SPT3 homolog,317,35793,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11564863, ECO:0000269|PubMed:9726987}.",Medium,
8521,SUPT4H1,P63272,Transcription elongation factor SPT4,117,13193,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:8649394}.,High,95350.67432547806
8522,SUPT5H,O00267,Transcription elongation factor SPT5,1087,121000,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:10075709}.,Medium,11368.027791007073
